trace_id,source_split,binary_label,harm_categories,onset_bucket,onset_lower_character,onset_upper_character,reviewer,review_date,final_label_correct,category_correct,onset_interval_correct,exact_unsafe_start_character,text_roundtrip_correct,cross_split_issue,suggested_label,suggested_categories,notes
7a8f8172b84c6c6f7333,train,unsafe,Non-violent Illegal Acts|Copyright Violation,middle,0.0,149.0,,,,,,,,,,,
7b8b27113e39b7763060,train,safe,,,,,,,,,,,,,,,
7f0ef51c163ca0c3bb3b,train,unsafe,Sexual Content or Sexual Acts|Unethical Acts,early,0.0,93.0,,,,,,,,,,,
7f24ca293746269f0926,train,unsafe,Violent,late,0.0,22.0,,,,,,,,,,,
807eeee97e316fb5cb72,val,unsafe,Violent,late,0.0,44.0,,,,,,,,,,,
8169325b5a70d87056dd,val,unsafe,Violent|Non-violent Illegal Acts|Unethical Acts,middle,0.0,143.0,,,,,,,,,,,
81ddb73f90e64ebb128c,val,safe,,,,,,,,,,,,,,,
82a7d02b54dcedd2c972,train,unsafe,Personally Identifiable Information,late,0.0,52.0,,,,,,,,,,,
85de534f26db715a28d5,train,unsafe,Violent|Non-violent Illegal Acts|Politically Sensitive Topics,early,0.0,111.0,,,,,,,,,,,
88406a745c67e2c2a7a7,train,unsafe,Violent|Non-violent Illegal Acts|Unethical Acts|Politically Sensitive Topics,middle,0.0,217.0,,,,,,,,,,,
8b3997030a4ab38edf76,train,unsafe,Violent|Non-violent Illegal Acts|Sexual Content or Sexual Acts|Unethical Acts,early,0.0,177.0,,,,,,,,,,,
8b5e18d7051d4014b973,train,unsafe,Sexual Content or Sexual Acts,middle,0.0,153.0,,,,,,,,,,,
8bcf96f5d5cb5bbfcd1a,train,unsafe,Personally Identifiable Information,late,0.0,56.0,,,,,,,,,,,
90b8787124eab8d00c5f,train,safe,,,,,,,,,,,,,,,
9110f33773aa4284d7eb,val,safe,,,,,,,,,,,,,,,
929b19e9d9be9de89342,train,safe,,,,,,,,,,,,,,,
9a2c027052bb4031e618,train,unsafe,Non-violent Illegal Acts|Unethical Acts|Politically Sensitive Topics,late,0.0,748.0,,,,,,,,,,,
9aeb699d7966d2f29014,train,safe,,,,,,,,,,,,,,,
9e40a1f4b3b66b313437,train,unsafe,Non-violent Illegal Acts|Unethical Acts|Copyright Violation,middle,0.0,197.0,,,,,,,,,,,
a7b5ecb824accf9e5090,train,safe,,,,,,,,,,,,,,,
b17ccbf4d571db4a8c08,val,unsafe,Violent|Non-violent Illegal Acts,late,0.0,129.0,,,,,,,,,,,
b4ec8bb5e28f32f6c10c,train,safe,,,,,,,,,,,,,,,
b52a40bcfcecb2b56dff,train,safe,,,,,,,,,,,,,,,
b52d6ae803d129ada955,train,safe,,,,,,,,,,,,,,,
b59bf76f5d17c31706c6,train,safe,,,,,,,,,,,,,,,
b6d1e74e952363d16233,train,safe,,,,,,,,,,,,,,,
b74f6a4869437e48dc6f,train,safe,,,,,,,,,,,,,,,
ba10fe667cb204c1424b,train,safe,,,,,,,,,,,,,,,
ba3667da6fefa898f146,train,unsafe,Non-violent Illegal Acts|Copyright Violation,middle,0.0,259.0,,,,,,,,,,,
bffe1f7b4b6b208285ff,train,safe,,,,,,,,,,,,,,,
c100335dfdd93e5d62b3,train,unsafe,Violent|Unethical Acts|Politically Sensitive Topics,middle,0.0,211.0,,,,,,,,,,,
c36ef89c9d95964429eb,train,safe,,,,,,,,,,,,,,,
c813e1be46a8d0f2799a,train,safe,,,,,,,,,,,,,,,
c8885e9d36ce9e39b251,train,safe,,,,,,,,,,,,,,,
cfa9419fffc4e589e4b8,val,safe,,,,,,,,,,,,,,,
d0452564f43f1b25c098,val,unsafe,Violent|Personally Identifiable Information,middle,0.0,36.0,,,,,,,,,,,
d0d80a22aa6ef722be14,train,safe,,,,,,,,,,,,,,,
d310f756abc74e09eb9d,train,unsafe,Sexual Content or Sexual Acts|Unethical Acts,early,0.0,156.0,,,,,,,,,,,
d3b7849983d071779eb0,train,safe,,,,,,,,,,,,,,,
d86f70aed1b6bebb6715,train,safe,,,,,,,,,,,,,,,
e0d3cd633dc299be5c66,train,safe,,,,,,,,,,,,,,,
e16d747cb099a61d2aa4,train,unsafe,Violent|Non-violent Illegal Acts|Unethical Acts|Politically Sensitive Topics,early,0.0,131.0,,,,,,,,,,,
e7418ea5bf3c1cb935ae,train,unsafe,Personally Identifiable Information|Non-violent Illegal Acts|Unethical Acts,late,0.0,125.0,,,,,,,,,,,
e7ca2c432ad20528fbac,train,safe,,,,,,,,,,,,,,,
ec7312ed3f2acbee466c,val,safe,,,,,,,,,,,,,,,
f143c19a17dc926a1fe8,train,unsafe,Suicide & Self-Harm,late,0.0,72.0,,,,,,,,,,,
f6a03de3f8e7c7ef800a,train,unsafe,Sexual Content or Sexual Acts|Unethical Acts,early,0.0,157.0,,,,,,,,,,,
fbab6fbd79e900c01e01,train,unsafe,Sexual Content or Sexual Acts|Non-violent Illegal Acts,early,0.0,271.0,,,,,,,,,,,
